ID;Q1_niveau;Q2_gabarit;Q3_usage;Q4_distance;Q5_poids;Q6_terrain;Q7_loisir;Q8_suspension;Q9_budget;Q10_priorité;warning1;warning2;warning3;PROFIL
n00060;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00061;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00062;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00063;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00064;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00065;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00066;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00067;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00068;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00069;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00070;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_1_ultra_leger
n00071;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_1_ultra_leger
n00072;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00073;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00074;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00075;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00076;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00077;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00078;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00079;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00080;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00081;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00082;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00083;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00084;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00085;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00086;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00087;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00088;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_1_ultra_leger
n00089;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_1_ultra_leger
n00090;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00091;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00092;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00093;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00094;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00095;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00096;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00097;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00098;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00099;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00100;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00101;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00102;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00103;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00104;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00105;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain1_lisse;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
